Song Name,Artist Name,Mood,Song Link,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Ghalat Fehmi,Asim Azhar,Happy,https://youtu.be/0Np37l4ykRE?si=phLwrtO9bFNeoC3K,58,0.921,0.748,1,-5.093,1,0.13,0.00908,0,0.0798,0.801,139.979,162886
We Don't Talk Anymore,Charlie Puth,Happy,https://youtu.be/A3TKxux17ZA?si=1UwWnv08n65eoPzV,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
Ode To My Family,The Cranberries,Happy,https://youtu.be/Zz-DJr1Qs54?si=gWBVwP90ZRd6z9bX,72,0.674,0.915,6,-3.999,0,0.0411,0.0282,0.00337,0.273,0.78,126.038,191293
Sometimes,Kodaline,Happy,https://youtu.be/yU43SUnn0v4?si=WNc_a8xsatgRcycS,54,0.649,0.758,10,-5.647,0,0.0581,0.0364,4.12E-05,0.36,0.737,120.001,167811
This One's for You,David Guetta,Happy,https://youtu.be/MoHnffhBwqs?si=AOCB4iRa6_rC-lTa,42,0.546,0.848,11,-2.577,1,0.052,0.0315,2.82E-06,0.252,0.873,165.964,169814
Stranger,Blanks,Happy,https://youtu.be/2Ebqs-re5VI?si=fEOFHmLMM7BqSDPG,89,0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,140533
Spin The Block,Lil Durk,Happy,https://youtu.be/hdBaVX2sVt4?si=rqAu8afAOi5MYIfi,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
HUMBLE.,Kendrick Lamar,Happy,https://youtu.be/qP7E_MhQQr0?si=z20VM0JxC_NCv4_4,78,0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,186223
Runaway,6VIB3Z,Happy,https://youtu.be/4V88-9hQodo?si=d8Sp_7A-Gjc4m_9T,71,0.703,0.703,1,-4.672,1,0.133,0.605,0,0.12,0.697,76.017,183783
Buy U a Drink,T-Pain,Happy,https://youtu.be/5TJEXJTwVS8?si=J5ZQ5piCKGsc0U9k,82,0.73,0.703,0,-5.672,0,0.0369,0.109,0,0.0657,0.595,138.113,192120
Watermelon Sugar,Harry Styles,Happy,https://youtu.be/dZwffaluIgg?si=6yzR4hWFeOnaFEmz,84,0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,231173
asphyxia,C̦ Shu Nie,Happy,https://youtu.be/ZB9UvUJL_lE?si=XG3kZ0theyy9X_2d,79,0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,229507
Signal,TK from Ling tosite sigure,Happy,https://youtu.be/uNjKYBnRbdE?si=nXPrUJurPxGYJjdx,79,0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,229507
The Blower's Daughter,Damien Rice,Happy,https://youtu.be/YkEZaOrzwbA?si=TwzTdIzTbutIFbsL,0,0.688,0.702,7,-4.792,0,0.0501,0.0219,0,0.128,0.74,94.007,192191
Freaks,Surf Curse,Happy,https://youtu.be/NfMegACVJQw?si=riIbD9dQDvrR-8uu,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Cold Light,KC Lights,Happy,https://youtu.be/LGIQ2Qav0_Q?si=iqfPP4ATAS76nfyH,83,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,167864
Unfamiliar,Seeb,Happy,https://youtu.be/bFC3teJCy58?si=pWJ79tJxiyrNQxKM,64,0.652,0.715,0,-5.919,1,0.0388,0.0291,0,0.156,0.617,97.981,191036
Umbrella,Ember Island,Happy,https://youtu.be/0bVWGVKCnG0?si=vtbggLdH_rf36a6S,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
Only One I Need,William Black,Happy,https://youtu.be/E5M7PbDR4tQ?si=RT7c3YvYo6P_gTLO,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
Good Life,G-Eazy,Happy,https://youtu.be/FG9M0aEpJGE?si=_4H5lbr8CM0c0pqo,82,0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,204160
Feel This Moment,Pitbull,Happy,https://youtu.be/M0bLd0tTN5c?si=MzQfrvXns54CX3uI,69,0.735,0.784,11,-7.128,0,0.0332,0.449,0.154,0.105,0.582,120.012,191000
Shower,Becky G,Happy,https://youtu.be/VOgc2fjxZqU?si=Qz9yzV7qvD6at6SO,77,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69E-05,0.161,0.536,119.986,219160
Emptiness,Zodiac Wave,Happy,https://youtu.be/s8_Sx6rod3M?si=w7cWrRbv5FrASxiS,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
you broke me first,Tate McRae,Happy,https://youtu.be/QXzC2eiHBG8?si=CdRTQHPhYnPd5uOQ,73,0.807,0.783,5,-3.115,1,0.0964,0.351,0,0.14,0.592,127.996,195213
The Rains of Castamere,Ramin Djawadi,Happy,https://youtu.be/9vDL7AgLdYQ?si=niC0k_q3hN-hcFZF,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Love Yourself,Justin Bieber,Happy,https://youtu.be/0jJmzo9JyzI?si=9Nmwjkh0mdPKjLDb,89,0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,140533
Just My Type,The Vamps,Happy,https://youtu.be/Th1bOmqIPpM?si=w-i34_9H4-LGwm_k,82,0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,210840
Home,Machine Gun Kelly,Happy,https://youtu.be/wlJIBQvf5mc?si=UBJDSXvMfJW7PdRN,84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
Changes,Hayd,Happy,https://youtu.be/csvhn7YexUc?si=pZFHajtqrwFnjvYE,54,0.649,0.758,10,-5.647,0,0.0581,0.0364,4.12E-05,0.36,0.737,120.001,167811
Time,NF,Happy,https://youtu.be/LjVFV__K2YI?si=KdcBDkYl4ys7NrEJ,79,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387
7UP,Boy In Space,Happy,https://youtu.be/AiDWLe4BxE0?si=8iQRM1Y8AISoKC8S,83,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
"i hate u, i love u",gnash,Happy,https://youtu.be/EtLtZoCwquw?si=ZecD6cLdrSElyGX9,84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
ANGELS & DEMONS,jxdn,Happy,https://youtu.be/bJMbiuqjj0I?si=0t4RuyUIePSuifXw,54,0.649,0.758,10,-5.647,0,0.0581,0.0364,4.12E-05,0.36,0.737,120.001,167811
Chasing Demo,NF,Happy,https://youtu.be/WKy6NgYGw8A?si=MucEK7hgky1i8DAQ,79,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387
hot girl bummer,blackbear,Happy,https://youtu.be/3KnHgNT7Dd4?si=fb0FPxVKotxRNlhk,83,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
idfc - Tarro Remix,blackbear,Happy,https://youtu.be/gxE4ngu78Ro?si=HWd6cHfAgu3dbGGB,84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
Ridiculous Thoughts,The Cranberries,Happy,https://youtu.be/QyIMfpVxcV8?si=5_IHElbxhpihC14R,54,0.649,0.758,10,-5.647,0,0.0581,0.0364,4.12E-05,0.36,0.737,120.001,167811
bad vibes forever,XXXTENTACION,Happy,https://youtu.be/Nxzp5A5bFgY?si=fvXVjxLVyHaM8FNr,62,0.72,0.724,6,-7.219,0,0.0463,0.0418,0,0.0597,0.747,89.984,213804
Mad at Disney,salem ilese,Happy,https://youtu.be/1OapZ84eIuM?si=raQF4OxiSpThw91J,55,0.728,0.794,1,-3.992,1,0.0635,0.148,0,0.0688,0.523,112.071,194360
Welcome to Wonderland,Anson Seabra,Happy,https://youtu.be/NN6J-aYI0d4?si=gyXz5KIAm92EvsgD,50,0.741,0.855,7,-4.603,1,0.0372,0.00166,0.0042,0.285,0.756,123.988,146413
everything sucks,vaultboy,Happy,https://youtu.be/EYREqWRCcEg?si=PWMMxU9qeD20J4E8,42,0.546,0.848,11,-2.577,1,0.052,0.0315,2.82E-06,0.252,0.873,165.964,169814
Guess That's Love,Ryan Mack,Happy,https://youtu.be/f1bkNxMGKi4?si=9hCdiHDs09gSxL62,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
Broke,Ryan Mack,Happy,https://youtu.be/DSqumKfUxfI?si=Wd8alPgDnl6Dfk0B,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
Pran,Ritviz,Happy,https://youtu.be/Q-pA2JKBsE8?si=C91PjEMcn7eDmegZ,73,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02E-06,0.156,0.876,133.971,227333
Aadmi Chutiya Hai,Rahgir,Happy,https://youtu.be/A62hb3dFvxw?si=hpybzEbLXMgGuFSM,42,0.546,0.848,11,-2.577,1,0.052,0.0315,2.82E-06,0.252,0.873,165.964,169814
If You're Gonna Leave,PLVTINUM,Happy,https://youtu.be/W9I4gUVKCcQ?si=xnfgFJ5wVY4ygeeq,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
Weak,AJR,Happy,https://youtu.be/PcJ0r06ldYE?si=HzC8EDtlbf70bc74,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
Bang!,AJR,Happy,https://youtu.be/SuOfgnWa-dE?si=mJmp50lCHU0CiKmo,84,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960
